wmo,cycle,lat,lon,bnw,bbp700_surface_mean3,delta_bbp
2903858,40,-17.045,-79.76600000000002,0.0032097497023642,0.0020438932503263,0.0011658564520379
2903858,41,-16.935,-79.96600000000001,0.0012510180240496,0.0013159950419018,-6.49770178522001e-05
2903858,44,-16.523,-80.75,0.0032307195942848,0.000858855608385,0.0023718639858998003
2903939,1,-18.95,5.811000000000007,0.0025135506875813,0.0011775930955385,0.0013359575920427998
2903940,2,-15.632,-10.009000000000015,0.0013381370808929,0.0004658378990522,0.0008722991818406998
2903940,3,-15.456,-10.019000000000005,0.0012728824513033,0.0005171205266378,0.0007557619246655
2903940,4,-15.406,-10.011000000000024,0.0010961554944515,0.0004239523744521,0.0006722031199994001
2903941,2,-15.875,-19.605000000000018,0.0008446522406302,0.0004720197175629,0.0003726325230673
2903941,3,-15.751,-19.944999999999993,0.0008233103435486,0.0004336529624803,0.0003896573810683
3902261,25,58.832,-23.88900000000001,0.0007237838581204,0.0009481350231605,-0.0002243511650401
3902332,1,41.957,-46.14699999999999,0.0012054881080985,0.0005547249068816,0.0006507632012169
3902334,4,38.096,-63.67700000000002,0.002909418195486,0.0024761757037291,0.0004332424917569003
3902340,1,20.396,-177.844,0.0022687134332954,0.0004058813986678,0.0018628320346275999
3902340,3,20.155,-177.195,0.0008889304590411,0.000372473548244,0.0005164569107971
3902340,13,19.768,-176.429,0.0012002007570117,0.0004503204642484,0.0007498802927633
3902340,14,19.892,-176.673,0.0008091998170129,0.0004269578591144,0.00038224195789849996
3902340,17,20.233,-177.732,0.0020010583102703,0.0004759114429665,0.0015251468673038
3902340,19,20.457,-178.428,0.0010508284904062,0.0004116298320392,0.0006391986583669999
3902341,2,15.153,154.183,0.0007737910491414,0.0003097201794541,0.00046407086968729995
3902341,4,14.583,154.37599999999998,0.0003524648491293,0.0003538987172457,-1.433868116400012e-06
3902341,10,14.806,158.40999999999997,0.0019219832029193,0.0003579447705609,0.0015640384323584
3902341,11,15.113,158.185,0.0007019332842901,0.0003598018859823,0.0003421313983078
3902341,12,15.38,157.591,0.0005812325398437,0.0003587132378015,0.00022251930204220002
3902341,13,15.632,156.812,0.0011252135736867,0.000364267732948,0.0007609458407387001
3902341,16,16.173,154.62599999999998,0.0006320298998616,0.0003124334616586,0.00031959643820300004
3902341,17,16.109,154.065,0.000895143894013,0.000355966418283,0.0005391774757299999
3902342,1,21.258,-173.378,0.0008593786042183,0.0003796309368529,0.0004797476673654
3902342,86,22.349,-177.616,0.0020329500548541,0.0003744752417939,0.0016584748130602
3902342,87,22.377,-177.626,0.0017744654323905,0.0003759401928012,0.0013985252395893
3902342,89,22.363,-177.649,0.0006724959239363,0.0003949110978282,0.00027758482610810005
3902342,90,22.352,-177.646,0.0006773809436708,0.0003693262406159,0.00030805470305490004
3902342,91,22.356,-177.663,0.0005422987742349,0.0003870276462597,0.0001552711279752
3902342,92,22.358,-177.661,0.0005248867091722,0.0003424163151066,0.00018247039406560004
3902342,93,22.356,-177.675,0.0006980934413149,0.0003549017031521,0.0003431917381628
3902342,95,22.366,-177.693,0.0003626763937063,0.0003568334698987,5.842923807600014e-06
3902342,96,22.371,-177.687,0.0017785537056624,0.0003876553770775,0.0013908983285849
3902342,97,22.362,-177.707,0.0006060295854695,0.0003587868122849,0.00024724277318460006
3902342,98,22.369,-177.709,0.0005567427724599,0.0005208256091767,3.5917163283200005e-05
3902342,99,22.364,-177.719,0.0008145701722241,0.0003548579309911,0.000459712241233
3902342,100,22.363,-177.73,0.0006751059554517,0.0003679811876888,0.0003071247677629
3902342,101,22.361,-177.728,0.0009197792387567,0.000359463369629,0.0005603158691277
3902342,102,22.364,-177.751,0.0006943474290892,0.0003430469951126,0.0003513004339766
3902342,103,22.362,-177.739,0.0006295245257206,0.0003771769115701,0.0002523476141505
3902342,104,22.369,-177.752,0.0005345827667042,0.0003496256152478,0.00018495715145640007
3902342,105,22.364,-177.728,0.0011359647614881,0.0003666732033404,0.0007692915581477
3902342,106,22.366,-177.726,0.0011359647614881,0.0003784725364918,0.0007574922249962999
3902342,107,22.357,-177.713,0.0011359647614881,0.0003579993305417,0.0007779654309463999
