wmo,cycle,lat,lon,rel_delta
1902496,36,-15.287,-1.3980000000000246,0.5072177056569082
1902496,40,-15.88,-1.002999999999986,0.3729587424211697
1902497,5,-12.117,1.5360000000000014,0.2995849188514261
1902497,6,-12.412,1.6529999999999916,0.6942907065028218
1902499,17,-3.953,-5.314999999999998,-0.7489441927723263
1902500,10,-23.561,-1.0400000000000205,0.8801519404407941
1902500,12,-23.683,-1.3050000000000068,0.8991057108638832
1902500,14,-23.828,-1.440999999999974,0.7061557397117108
1902500,33,-21.431,-2.180999999999983,0.6042248160467457
1902500,35,-20.931,-2.4499999999999886,0.8502253352188319
1902500,36,-20.996,-2.019999999999982,0.5350472920474753
1902500,37,-21.117,-1.3410000000000082,0.3643364307909314
1902500,39,-20.964,0.2050000000000125,0.8045750611538731
1902500,41,-21.325,1.1999999999999886,0.35885095982402726
1902501,29,-5.771,-91.09300000000002,0.5284772803860707
1902652,1,11.773,-111.519,0.33089227136921645
1902652,3,11.763,-111.891,0.6556376956502159
1902722,2,-22.209,-34.47500000000002,0.45392132592269163
1902742,1,28.721,-74.447,0.6527221541714384
1902742,2,28.784,-74.40499999999997,0.6001761253368411
1902742,3,28.796,-74.67500000000001,0.5087220328163197
1902742,5,28.726,-75.76400000000001,-0.6669006704089134
1902742,7,28.266,-75.822,-0.0750477599843491
2903439,15,-34.917,-109.831,0.5982948768008033
2903440,8,-37.658,-99.29000000000002,0.6430341835378495
2903440,9,-37.685,-99.46499999999996,0.8750826132777182
2903441,13,-39.538,-88.68299999999999,0.6062899396521287
2903442,5,-40.541,-78.88600000000002,0.6495228664288621
2903442,6,-40.541,-78.69999999999999,0.14738898154403632
2903442,8,-40.549,-78.01400000000001,0.8519729535104619
2903442,10,-40.275,-78.017,0.08687155221154716
2903442,12,-39.957,-78.54899999999998,0.4955950700352573
2903442,15,-40.015,-79.33800000000002,0.7711361252175876
2903442,16,-40.122,-79.582,0.2957543225088322
2903451,41,-0.141,148.291,0.6565887749744581
2903451,56,0.082,149.86900000000003,-2.0096303708941075
2903451,57,0.419,148.914,0.8031527367090288
2903451,60,1.342,146.224,0.5604980406659225
2903451,75,0.909,141.28999999999996,0.9075480385007347
2903459,36,-9.778,-93.35000000000002,0.7881177205608388
2903459,38,-10.038,-93.54500000000002,0.8006046259276656
2903459,53,-9.652,-94.14100000000002,0.730458590065708
2903459,54,-9.806,-93.856,0.23147581889216673
2903459,60,-9.674,-93.01799999999996,0.5153127042766897
2903459,64,-10.461,-91.92700000000002,0.41557433784010284
2903459,69,-10.066,-91.74,0.7720435837314403
2903461,30,-2.993,-98.68099999999998,0.17753363510189846
2903461,32,-3.137,-99.05200000000002,0.7559569926356065
2903461,37,-3.058,-100.29500000000002,-0.3110856849338327
2903461,39,-3.08,-101.16500000000002,0.6398663037809218
2903461,51,-2.734,-104.349,-0.03986016398760804
2903461,52,-2.353,-104.369,0.44635612619656156
2903461,56,-2.401,-103.959,0.15975236560882408
2903461,57,-2.532,-104.239,0.7278076951916267
2903461,58,-2.771,-104.281,0.4430824664007223
2903462,31,0.81,-97.64800000000002,0.3250694106505553
2903462,32,0.868,-98.29399999999998,-0.050617344846230636
2903462,36,0.375,-102.41199999999998,0.23361721614836536
2903462,37,0.656,-103.303,0.63435823009319
2903462,38,0.913,-104.103,-0.7017651280248876
2903462,43,-0.443,-106.701,0.42122331566556415
2903462,54,1.336,-104.207,0.637799630916844
2903462,55,1.875,-104.138,0.5128805636166911
2903462,57,1.945,-102.959,0.6628778597628369
2903462,58,1.536,-102.634,0.5567235035334577
2903462,60,0.663,-102.25,0.6745172013641746
2903462,61,1.266,-102.356,0.6292330066931506
2903462,66,0.872,-102.08499999999998,0.7607802431930508
2903463,31,4.121,-97.753,0.6549137434766422
2903463,33,4.41,-97.05599999999998,0.8351128498659501
2903463,37,3.505,-97.37900000000002,-0.16553714283070542
2903463,49,2.024,-102.168,-0.9994728232417638
2903463,53,2.841,-103.046,0.6825288140206286
2903463,60,2.582,-102.43400000000004,0.86914454194217
2903463,61,3.087,-102.365,0.7655547503972522
2903463,62,2.843,-102.26100000000002,0.46573836734800156
2903463,65,3.147,-101.92399999999998,0.6367260468657683
2903463,66,3.345,-102.14999999999998,0.31417303134535435
2903464,48,3.074,82.007,0.6189208884486304
2903464,53,3.614,80.89499999999998,0.748984438539526
2903464,61,3.496,83.35300000000001,0.8601881531021465
2903464,65,2.118,82.209,0.6091923106576012
2903465,36,-4.781,86.53800000000001,0.7928861920604665
2903465,62,-4.926,89.68799999999999,0.4280768016397136
2903465,65,-5.087,91.08499999999998,0.3636740900212327
