wmo,profile,lat,lon,bnw,bbp700_first3_mean,delta_bbp
2903465,36,-4.781,86.53800000000001,0.0026102135889232,0.0006226666666666,0.0019875469222566
2903465,62,-4.926,89.68799999999999,0.0014176900731399,0.0007386666666666,0.0006790234064733001
2903465,65,-5.087,91.08499999999998,0.0012409043265506,0.0005656666666666,0.0006752376598840001
2903465,68,-5.615,93.918,0.0014649088261649,0.0005533333333333,0.0009115754928315999
2903465,69,-5.836,94.52800000000002,2.2407616597774904e-06,0.0004886666666666,-0.0004864259050068225
2903466,48,1.248,66.457,0.002377521013841,0.0008903333333333,0.0014871876805077002
2903466,49,1.412,65.92700000000002,0.0018754042685031,0.00059,0.0012854042685031
2903466,50,1.091,65.011,0.0012091527460142,0.0008496666666666,0.0003594860793476001
2903466,63,-1.157,74.559,0.0022945310920476,0.0005909999999999,0.0017035310920476999
2903467,46,-8.225,86.52300000000002,4.3582849684753455e-06,0.000578,-0.0005736417150315246
2903467,52,-8.777,86.005,0.0012845550663769,0.0006493333333333,0.0006352217330436
2903467,57,-9.405,89.05599999999998,0.0016811462119221,0.000496,0.0011851462119220999
2903467,60,-10.078,90.54500000000002,0.0017446221318095,0.0008286666666666,0.0009159554651429001
2903467,64,-9.934,91.90699999999998,0.001187921850942,0.0006846666666666,0.0005032551842754
2903468,26,-17.927,101.99400000000003,0.0013787691714242,0.0006026666666666,0.0007761025047576001
2903468,29,-18.909,100.72800000000001,0.002734747948125,0.0005946666666666,0.0021400812814584003
2903468,31,-19.374,100.86900000000003,0.0006254689651541,0.0005313333333333,9.413563182079996e-05
2903468,33,-18.816,100.96100000000001,0.000681807519868,0.0005006666666666,0.00018114085320139993
2903468,38,-18.206,98.678,0.005680582486093,0.0005806666666666,0.0050999158194264
2903468,39,-18.227,98.09800000000001,0.0006015247199684,0.000505,9.652471996839996e-05
2903468,40,-18.355,97.548,0.0015679313801229,0.0005149999999999,0.001052931380123
2903468,46,-18.704,96.73000000000002,0.000853138975799,0.0005116666666666,0.0003414723091324
2903468,48,-18.241,96.24200000000002,0.0040996158495545,0.0005836666666666,0.0035159491828878997
2903468,53,-18.181,95.97399999999999,0.0024101433809846,0.0004966666666666,0.0019134767143180003
2903468,57,-18.541,97.572,0.0010507286060601,0.0004363333333333,0.0006143952727268
2903468,60,-19.239,97.02699999999999,0.0005950984777882,0.0004489999999999,0.00014609847778830002
2903472,32,-41.079,34.997000000000014,0.000894628057722,0.001118,-0.00022337194227800008
2903829,7,8.897,87.493,0.0013797527644783,0.0006686666666666,0.0007110860978117
2903831,9,16.614,89.45600000000002,0.0010871558915823,0.0004376666666666,0.0006494892249157
2903832,0,-29.9,-90.00400000000002,0.0015930607914924,0.0004216666666666,0.0011713941248258
2903832,1,-29.9,-90.007,0.0015930607914924,0.000423,0.0011700607914924
2903832,2,-29.902,-90.00999999999999,0.0015930607914924,0.0004123333333333,0.0011807274581591
2903832,3,-29.905,-90.01299999999998,0.0003852297668345,0.0004036666666666,-1.8436899832100038e-05
2903832,4,-29.909,-90.01400000000001,0.0003852297668345,0.0004209999999999,-3.577023316540004e-05
2903832,5,-29.912,-90.01499999999999,0.0003852297668345,0.0004133333333333,-2.810356649879999e-05
2903832,6,-29.915,-90.01499999999999,0.0007584645063616,0.0004176666666666,0.00034079783969500005
2903832,7,-29.917,-90.01499999999999,0.0007584645063616,0.0004053333333333,0.00035313117302830004
2903832,8,-29.919,-90.01499999999999,0.0007584645063616,0.0004143333333333,0.00034413117302830004
2903832,9,-29.919,-90.01499999999999,0.0007584645063616,0.0004233333333333,0.00033513117302830004
2903832,10,-29.919,-90.01600000000002,0.0007584645063616,0.000418,0.0003404645063616
2903832,11,-29.919,-90.01799999999997,0.0007584645063616,0.0005179999999999,0.0002404645063617
2903832,12,-29.919,-90.02100000000002,0.0007584645063616,0.0002323333333333,0.0005261311730283
2903832,13,-29.92,-90.024,0.0007584645063616,-0.0001066666666666,0.0008651311730282
2903832,14,-29.922,-90.02699999999999,0.0007584645063616,0.0003493333333333,0.00040913117302830004
2903832,16,-29.938,-90.03300000000002,0.0007884545484557,0.0004066666666666,0.0003817878817891
2903832,17,-29.937,-90.03500000000003,0.0007884545484557,0.000415,0.00037345454845569997
2903832,25,-29.726,-90.077,0.0010147161083295,0.0003719999999999,0.0006427161083296001
2903832,26,-29.398,-90.04899999999998,0.0007193121127784,0.0003736666666666,0.00034564544611179995
2903832,27,-29.114,-89.99200000000002,0.0040279752574861,0.0003576666666666,0.0036703085908195
2903832,28,-28.917,-89.79000000000002,0.0002733866858761,0.0003493333333333,-7.594664745720002e-05
2903832,32,-29.998,-89.87799999999999,0.0008851618040353,0.000311,0.0005741618040353
2903833,11,-30.296,-106.313,0.001354708103463,0.000327,0.001027708103463
2903833,12,-30.143,-106.422,0.0009395474917255,0.000334,0.0006055474917255001
2903833,16,-30.425,-106.378,0.0014115092344582,0.0002679999999999,0.0011435092344583
2903833,17,-30.6,-106.283,0.0011405394179746,0.0002896666666666,0.0008508727513079999
2903856,28,1.387,-168.199,0.0015249887946993,0.000776,0.0007489887946993
2903856,30,1.09,-170.164,0.0035465192049741,0.0010813333333333,0.0024651858716408
2903856,32,0.887,-172.214,0.002349164802581,0.0007983333333333,0.0015508314692476999
2903856,34,1.342,-174.341,0.0016751911025494,0.000893,0.0007821911025494001
2903856,40,1.277,-178.81,0.0009983248310163,0.0007143333333333,0.0002839914976829999
2903856,55,0.774,178.73900000000003,0.0009946513455361,0.0004753333333333,0.0005193180122027999
2903856,56,0.324,179.15800000000002,0.000770928163547,0.000853,-8.207183645300004e-05
2903858,39,-16.968,-79.67000000000002,0.0014247886138036,0.002044,-0.0006192113861963999
2903858,40,-17.045,-79.76600000000002,0.0032097497023642,0.0013156666666666,0.0018940830356975998
2903858,41,-16.935,-79.96600000000001,0.0012510180240496,0.0013276666666666,-7.66486426170001e-05
2903858,44,-16.523,-80.75,0.0032307195942848,0.000977,0.0022537195942848
2903863,52,19.087,-156.475,0.0015954055124893,0.000504,0.0010914055124892998
2903863,66,19.496,-158.688,0.0004074841854162,0.0005033333333333,-9.584914791710002e-05
2903863,74,18.641,-159.144,0.0021194673608988,0.0005836666666666,0.0015358006942321999
2903863,75,18.644,-159.305,0.0009612450376152,0.00063,0.0003312450376152
2903863,78,18.737,-159.667,0.0011739553883671,0.000602,0.0005719553883671
2903863,79,18.675,-159.808,0.0016160191735252,0.0005983333333333,0.0010176858401919
2903863,80,18.595,-159.987,0.0008788328850641,0.0005843333333333,0.0002944995517308
2903863,84,18.155,-161.002,0.0006492151878774,0.0004493333333333,0.00019988185454410004
2903863,85,18.062,-161.276,0.0007004428189247,0.000463,0.0002374428189247
