wmo,cycle,rrs700,wl_selected_nm,granule,dist_km,lat,lon,source_file
1902455,69,5.799904465675354e-05,699.0,ExpBricaud,2.4869697417401513,2.9892760515213013,73.66362380981445,Argo_1902455_069_fits.npz
1902456,33,-2.399832010269165e-05,699.0,ExpBricaud,58.15695234670646,-25.983012199401855,57.2097282409668,Argo_1902456_033_fits.npz
1902456,36,8.200109004974365e-05,699.0,ExpBricaud,1.9991780137945105,-25.831575393676758,55.63376045227051,Argo_1902456_036_fits.npz
1902456,38,1.1000782251358032e-05,699.0,ExpBricaud,1.8275354355531228,-25.565152168273926,54.2626895904541,Argo_1902456_038_fits.npz
1902456,40,9.90014523267746e-05,699.0,ExpBricaud,11.187794236421706,-25.37879467010498,52.8060245513916,Argo_1902456_040_fits.npz
1902456,41,3.100000321865082e-05,699.0,ExpBricaud,1.4964606125011444,-25.465103149414062,51.77853012084961,Argo_1902456_041_fits.npz
1902456,42,-6.59991055727005e-05,699.0,ExpBricaud,1.868896785705911,-25.887964248657227,51.50148963928223,Argo_1902456_042_fits.npz
1902456,43,0.0001540016382932663,699.0,ExpBricaud,3.8336292858786356,-26.16498565673828,51.34193229675293,Argo_1902456_043_fits.npz
1902456,44,-8.499808609485626e-05,699.0,ExpBricaud,3.001220139581542,-26.273016929626465,51.17010498046875,Argo_1902456_044_fits.npz
1902456,45,0.0003110002726316452,699.0,ExpBricaud,108.7102781403879,-25.293628692626953,51.58943176269531,Argo_1902456_045_fits.npz
1902456,47,0.00013799965381622314,699.0,ExpBricaud,1.7523424856322534,-25.860108375549316,51.89923095703125,Argo_1902456_047_fits.npz
1902456,51,-0.00016399845480918884,699.0,ExpBricaud,9.293012793802475,-24.724966049194336,53.093711853027344,Argo_1902456_051_fits.npz
1902456,54,0.00018800050020217896,699.0,ExpBricaud,3.0130164892181366,-23.708542823791504,54.90422058105469,Argo_1902456_054_fits.npz
1902456,58,0.00024200044572353363,699.0,ExpBricaud,1.6187618973574929,-24.47651481628418,56.18326759338379,Argo_1902456_058_fits.npz
1902456,59,-8.199922740459442e-05,699.0,ExpBricaud,11.053980282428082,-23.907174110412598,56.00421142578125,Argo_1902456_059_fits.npz
1902456,66,6.500072777271271e-05,699.0,ExpBricaud,1.5747956670289371,-25.25374698638916,55.74774360656738,Argo_1902456_066_fits.npz
1902456,68,4.000961780548096e-06,699.0,ExpBricaud,2.4209299837378726,-25.42427158355713,55.85563659667969,Argo_1902456_068_fits.npz
1902457,31,-0.000160999596118927,699.0,ExpBricaud,116.19679415187967,6.816390037536621,65.77251815795898,Argo_1902457_031_fits.npz
