idx,bbp,bbp_sig,beta,beta_sig,aph,aph_sig,adg,adg_sig,Sdg,Sdg_sig,true_bbp,true_aph,true_adg
303,0.0006373248707136593,6.402676757094204e-05,1.2181379795074463,0.669274315237999,0.0023221805679621995,0.001263747150820407,0.021925200567858856,0.0017391228610625729,0.011262333951890469,0.0013478449545800686,0.00043770999764092267,0.00661499984562397,0.013717000372707844
304,0.001264357997510715,6.892103435011683e-05,1.2650632858276367,0.6215778589248657,0.0020806277635482683,0.001359807721372832,0.029775745789355986,0.0027561931474361662,0.010296879336237907,0.0003768978640437126,0.00108561001252383,0.008062000386416912,0.022216999903321266
305,0.0005898585786743189,5.8219416692311874e-05,0.5770165324211121,0.6018749698996544,0.004962046497226514,0.0010011578051015804,0.019031366239056588,0.0015018391290330217,0.010352004319429398,0.00044929981231689453,0.0004509100108407438,0.007290999870747328,0.013825999572873116
306,0.001042118621246581,7.397351188052616e-05,1.4600000381469727,0.5349279344081879,6.593660863292459e-05,0.00041752380398185163,0.03749016820204816,0.002798649809469124,0.011332165449857712,0.000949513167142868,0.0009387099999003112,0.006314000114798546,0.028615999966859818
307,0.0009398431116199333,7.08349381294523e-05,0.8669373989105225,0.6722978055477142,0.0008348706177594867,0.0011505480548684203,0.027623287160923316,0.002202893784065763,0.010647732764482498,0.0007485249079763889,0.0007730100187472999,0.006314000114798546,0.018396999686956406
308,0.0006273916831975938,6.212925180039473e-05,0.8909872770309448,0.6892637610435486,0.003946994380768756,0.0010554598880096826,0.01740784248773869,0.0014084652378169062,0.01108727790415287,0.0012538284063339233,0.0005200100131332874,0.006041999906301498,0.011479999870061874
309,0.001644395497569592,0.00011049764145451069,1.260789394378662,0.6749799847602844,0.007740408916982623,0.001417272578519332,0.09773354236971785,0.01244636820557174,0.010657995007932186,0.0006990521214902401,0.0017140100244432688,0.03379200026392937,0.04401800036430359
310,0.0012259280310025975,6.262131135824107e-05,1.728750467300415,0.3100275993347168,0.00011814214765639852,0.0005609598635255209,0.024986713158770178,0.001514890002508061,0.01078011840581894,0.0007700715214014053,0.0011222099419683218,0.00661499984562397,0.01600399985909462
311,0.0005959906789709095,7.616019384790797e-05,1.062863826751709,0.697892814874649,0.0001244086393227241,0.0006968964835467134,0.05274938985881827,0.004021733440972938,0.010831855237483978,0.0008421912789344788,0.0003503299958538264,0.006314000114798546,0.041798997670412064
312,0.000632948298230897,6.586637096502962e-05,0.9680293798446655,0.7180922329425812,0.0017523077513931823,0.0015032965241252199,0.03410943023417262,0.002726002415777685,0.010384481400251389,0.0004735761322081089,0.0005300099728628993,0.006314000114798546,0.023256998509168625
313,0.0010731593297330455,6.691726213416127e-05,1.3722963333129883,0.563847690820694,0.003938001515230561,0.0010348806517971644,0.01969150813974337,0.001720067317527621,0.010841678828001022,0.000971261877566576,0.001143909990787506,0.008836999535560608,0.010893000289797783
