wmo,profile,file,bbp700_top20m_median,n_values_used
2903833,12,2903833QC.nc,0.000324,10
2903833,16,2903833QC.nc,0.000292,10
2903833,11,2903833QC.nc,0.00032399999999999996,10
2903833,23,2903833QC.nc,0.00035800000000000003,10
2903856,56,2903856QC.nc,0.0008500000000000001,10
2903856,28,2903856QC.nc,0.0007735000000000001,10
2903856,55,2903856QC.nc,0.0005705,10
2903856,32,2903856QC.nc,0.0008015,10
2903856,40,2903856QC.nc,0.000761,10
2903856,30,2903856QC.nc,0.001092,10
2903856,34,2903856QC.nc,0.0008665000000000001,10
2903858,40,2903858QC.nc,0.00115,10
2903858,44,2903858QC.nc,0.0010065,10
2903858,39,2903858QC.nc,0.0016605,10
2903858,41,2903858QC.nc,0.0012915000000000001,10
2903863,75,2903863QC.nc,0.0005,10
2903863,84,2903863QC.nc,0.00046600000000000005,10
2903863,111,2903863QC.nc,0.000462,10
2903863,79,2903863QC.nc,0.0005560000000000001,10
2903863,74,2903863QC.nc,0.0005545,10
2903863,78,2903863QC.nc,0.000572,10
2903863,133,2903863QC.nc,0.0004355,10
2903863,110,2903863QC.nc,0.000461,10
2903863,87,2903863QC.nc,0.0005300000000000001,10
2903863,105,2903863QC.nc,0.00048649999999999995,10
2903863,114,2903863QC.nc,0.0005250000000000001,10
2903863,109,2903863QC.nc,0.00045850000000000003,10
2903863,118,2903863QC.nc,0.000461,10
2903863,86,2903863QC.nc,0.000562,10
2903863,85,2903863QC.nc,0.00045799999999999997,10
2903863,66,2903863QC.nc,0.0004935,10
2903863,52,2903863QC.nc,0.0005095,10
2903863,113,2903863QC.nc,0.00046199999999999995,10
2903863,122,2903863QC.nc,0.00047599999999999997,10
2903863,108,2903863QC.nc,0.000482,10
2903863,117,2903863QC.nc,0.000445,10
2903863,135,2903863QC.nc,0.000472,10
2903863,103,2903863QC.nc,0.00084,10
2903863,112,2903863QC.nc,0.00046199999999999995,10
2903863,80,2903863QC.nc,0.0005465,10
2903863,116,2903863QC.nc,0.000454,10
2903884,20,2903884QC.nc,0.001222,10
2903884,29,2903884QC.nc,0.0009015,10
2903884,6,2903884QC.nc,0.0010539999999999998,10
2903884,15,2903884QC.nc,0.001045,10
2903884,24,2903884QC.nc,0.0011685,10
2903884,1,2903884QC.nc,0.001317,10
2903884,10,2903884QC.nc,0.0010725,10
2903884,19,2903884QC.nc,0.0009515,10
2903884,5,2903884QC.nc,0.0011875,10
2903884,0,2903884QC.nc,0.001264,10
2903884,9,2903884QC.nc,0.000922,10
2903884,18,2903884QC.nc,0.0012065,10
2903884,31,2903884QC.nc,0.000733,10
2903884,8,2903884QC.nc,0.0010205000000000001,10
2903884,17,2903884QC.nc,0.0011275,10
2903884,12,2903884QC.nc,0.000995,10
2903884,21,2903884QC.nc,0.001155,10
2903884,30,2903884QC.nc,0.0008500000000000001,10
2903884,7,2903884QC.nc,0.001023,10
2903884,16,2903884QC.nc,0.0009265,10
2903884,11,2903884QC.nc,0.000949,10
2903885,4,2903885QC.nc,0.000704,10
2903885,8,2903885QC.nc,0.0007795,10
2903885,3,2903885QC.nc,0.0007035,10
2903885,7,2903885QC.nc,0.00066,10
2903885,11,2903885QC.nc,0.0005535,10
2903886,51,2903886QC.nc,0.0025190000000000004,10
2903886,79,2903886QC.nc,0.000882,10
2903886,64,2903886QC.nc,0.002317,10
2903886,50,2903886QC.nc,0.0017515,10
2903886,59,2903886QC.nc,0.001558,10
2903886,68,2903886QC.nc,0.0011855,10
2903886,77,2903886QC.nc,0.0012385,10
2903886,54,2903886QC.nc,0.006902,10
2903886,72,2903886QC.nc,0.0011775000000000002,10
2903886,85,2903886QC.nc,0.0005445000000000001,10
2903886,53,2903886QC.nc,0.005089,10
2903886,80,2903886QC.nc,0.001524,10
2903886,48,2903886QC.nc,0.0020685,10
2903886,61,2903886QC.nc,0.001434,10
2903886,56,2903886QC.nc,0.0023015,10
2903887,54,2903887QC.nc,0.000396,10
2903887,40,2903887QC.nc,0.0003765,10
2903887,53,2903887QC.nc,0.00037600000000000003,10
2903887,34,2903887QC.nc,0.000344,10
2903887,47,2903887QC.nc,0.000408,10
2903887,33,2903887QC.nc,0.000384,10
2903887,42,2903887QC.nc,0.00036899999999999997,10
2903887,32,2903887QC.nc,0.0003635,10
2903887,45,2903887QC.nc,0.000348,10
2903939,6,2903939QC.nc,0.0008550000000000001,10
2903939,1,2903939QC.nc,0.000644,10
2903939,0,2903939QC.nc,0.0011565,10
2903939,4,2903939QC.nc,0.0005614999999999999,10
2903939,8,2903939QC.nc,0.0005545,10
2903939,7,2903939QC.nc,0.0007105,10
2903940,7,2903940QC.nc,0.00044249999999999997,10
2903940,2,2903940QC.nc,0.0004725,10
2903940,0,2903940QC.nc,0.000397,10
2903940,4,2903940QC.nc,0.0004195,10
2903940,3,2903940QC.nc,0.00042100000000000004,10
2903941,8,2903941QC.nc,0.0004365,10
2903941,3,2903941QC.nc,0.000401,10
2903941,2,2903941QC.nc,0.00043,10
2903941,5,2903941QC.nc,0.00040300000000000004,10
2903941,0,2903941QC.nc,0.0004705,10
2903986,2,2903986QC.nc,0.0003895,10
2903986,1,2903986QC.nc,0.00039150000000000003,10
2903986,5,2903986QC.nc,0.00039099999999999996,10
3902261,25,3902261QC.nc,0.000858,10
3902332,1,3902332QC.nc,0.000887,10
3902332,0,3902332QC.nc,0.000571,10
3902334,0,3902334QC.nc,0.0007444999999999999,10
3902334,4,3902334QC.nc,0.0017195,10
3902340,25,3902340QC.nc,0.000493,10
3902340,1,3902340QC.nc,0.000402,10
3902340,19,3902340QC.nc,0.000397,10
3902340,14,3902340QC.nc,0.00042500000000000003,10
3902340,0,3902340QC.nc,0.00041,10
3902340,13,3902340QC.nc,0.000423,10
3902340,17,3902340QC.nc,0.00043400000000000003,10
3902340,3,3902340QC.nc,0.00039,10
3902340,21,3902340QC.nc,0.00045450000000000004,10
3902341,10,3902341QC.nc,0.0003665,10
3902341,4,3902341QC.nc,0.0003255,10
3902341,13,3902341QC.nc,0.000374,10
3902341,17,3902341QC.nc,0.00041600000000000003,10
3902341,12,3902341QC.nc,0.000369,10
3902341,16,3902341QC.nc,0.000352,10
3902341,25,3902341QC.nc,0.00037850000000000004,10
3902341,2,3902341QC.nc,0.0003225,10
3902341,11,3902341QC.nc,0.000357,10
3902341,24,3902341QC.nc,0.0003255,10
3902342,97,3902342QC.nc,0.000368,10
3902342,106,3902342QC.nc,0.000373,10
3902342,124,3902342QC.nc,0.000383,10
3902342,133,3902342QC.nc,0.000379,10
3902342,92,3902342QC.nc,0.000369,10
3902342,101,3902342QC.nc,0.000362,10
3902342,110,3902342QC.nc,0.000384,10
3902342,231,3902342QC.nc,0.000397,10
3902342,87,3902342QC.nc,0.00039400000000000004,10
3902342,96,3902342QC.nc,0.000359,10
3902342,105,3902342QC.nc,0.000359,10
3902342,114,3902342QC.nc,0.000381,10
3902342,91,3902342QC.nc,0.000359,10
3902342,100,3902342QC.nc,0.00034500000000000004,10
3902342,230,3902342QC.nc,0.000379,10
3902342,86,3902342QC.nc,0.00038,10
3902342,95,3902342QC.nc,0.0003565,10
3902342,180,3902342QC.nc,0.00038100000000000005,10
3902342,183,3902342QC.nc,0.00036300000000000004,10
3902342,263,3902342QC.nc,0.00032300000000000004,10
3902342,128,3902342QC.nc,0.00035999999999999997,10
3902342,137,3902342QC.nc,0.00037799999999999997,10
3902342,267,3902342QC.nc,0.000368,10
3902342,123,3902342QC.nc,0.000384,10
3902342,132,3902342QC.nc,0.000365,10
3902342,262,3902342QC.nc,0.000314,9
3902342,109,3902342QC.nc,0.00037200000000000004,10
3902342,127,3902342QC.nc,0.000374,10
3902342,136,3902342QC.nc,0.000369,10
3902342,1,3902342QC.nc,0.000385,10
3902342,257,3902342QC.nc,0.000357,10
3902342,266,3902342QC.nc,0.000337,10
3902342,104,3902342QC.nc,0.00037200000000000004,10
3902342,113,3902342QC.nc,0.000385,10
3902342,122,3902342QC.nc,0.000392,10
3902342,131,3902342QC.nc,0.00038,10
3902342,261,3902342QC.nc,0.000322,10
3902342,90,3902342QC.nc,0.000348,10
3902342,99,3902342QC.nc,0.000375,10
3902342,108,3902342QC.nc,0.000377,10
3902342,126,3902342QC.nc,0.000375,10
3902342,229,3902342QC.nc,0.00037600000000000003,10
