wmo,profile,lat,lon,giop_bbp_700,bbp700_first3_mean,rel_dbbp_giop
1902455,65,2.212,74.423,0.0016428889939561,0.000569,0.653658888644789
1902455,69,2.979,73.668,0.0010141694219782,0.0006103333333333,0.39819391108952273
1902456,33,-26.363,56.827,0.0015903107123449,0.0005676666666666,0.6430466937938308
1902456,36,-25.837,55.623999999999995,0.0008383713429793,0.0006036666666666,0.27995312372991626
1902456,38,-25.566,54.260999999999996,0.0003581034543458,0.0005896666666666,-0.6466377509366127
1902456,40,-25.305,52.85499999999999,0.0017563502769917,0.0007143333333333,0.593285381229979
1902456,41,-25.465,51.77799999999999,0.0004873336001764,0.0006533333333333,-0.3406285408943957
1902456,42,-25.887,51.49799999999999,0.0004014995938632,0.000648,-0.6139493287278102
1902456,43,-26.139,51.339,0.0008614073740318,0.0006943333333333,0.19395473702124622
1902456,44,-26.265,51.170000000000016,0.0006229736027307,0.0007233333333333,-0.1610978862710877
1902456,45,-26.185,51.170000000000016,0.0015118768205866,0.0007663333333333,0.49312449076640597
1902456,47,-25.865,51.90100000000001,0.0011245707282796,0.0008033333333333,0.2856533492008439
1902456,51,-24.792,53.14099999999999,0.0005913461791351,0.0005059999999999,0.14432523984517306
1902456,54,-23.716,54.905,0.0007385893259197,0.0005163333333333,0.30091958384267775
1902456,58,-24.477,56.18099999999998,0.0012424037558957,0.000498,0.5991641222615499
1902456,59,-23.861,56.105999999999995,0.0020668944343924,0.0006793333333333,0.6713265457444604
1902456,66,-25.254,55.74199999999999,0.0006794318906031,0.0005536666666666,0.18510350437755294
1902456,68,-25.424,55.857,0.0005225433269515,0.0005426666666666,-0.03851037546015337
1902457,31,5.941,66.221,0.0006169190164655,0.0006983333333333,-0.13196921264357372
1902457,51,6.037,67.638,0.0012636231258511,0.000498,0.6058951519547592
1902457,52,6.219,67.63999999999999,0.0007412180420942,0.0005426666666666,0.267871751835159
1902457,57,5.979,67.541,0.0014726491644978,0.0009166666666666,0.3775390033381102
1902457,65,5.296,67.81700000000001,0.0015442206058651,0.0006033333333333,0.6092958926711758
1902457,66,5.547,67.95499999999998,0.0009869468631222,0.0007599999999999,0.22994841120863907
1902457,67,6.171,68.98000000000002,0.0006682584062218,0.0005683333333333,0.1495305887036372
1902458,50,12.927,67.83699999999999,0.0006200860952958,0.000572,0.0775474497180289
1902458,60,12.742,67.261,0.0004689774941653,0.000664,-0.41584619360425124
1902458,63,12.359,67.31700000000001,0.000795564672444,0.0010596666666666,-0.33196797616876367
1902458,64,12.396,67.261,0.0006673142779618,0.0006313333333333,0.05391903907465878
1902458,65,12.414,67.24799999999999,0.0007524619577452,0.0007786666666666,-0.03482529402539366
1902458,66,12.242,67.311,0.0004383402410894,0.0007303333333333,-0.6661334389884309
1902458,67,12.039,67.24799999999999,0.0002909346949309,0.000778,-1.0
