# Gordon coefficients fitted from Loisel23 Hydrolight simulations
# Source: Loisel et al. (2023) synthetic dataset
# Standard G1: 0.0949
# Standard G2: 0.0794
#
wavelength,G1,G2,G1_err,G2_err,rRMS,RMS
430.0,0.09773447424426902,0.06538407083761688,0.00010342774758627515,0.0006441827529091184,0.02654828670064015,0.00021219902519414632
435.0,0.09753158412923765,0.06660872150053959,0.00011160320450313083,0.0007277786355118848,0.02710769376867879,0.00021501327038544787
440.0,0.09728779192326735,0.06838474029694891,0.00012763412771209462,0.0009004075205943088,0.02789430498212184,0.00021947774375559692
445.0,0.09702331470728985,0.0703129882989184,0.00014576371307564612,0.001108734421905026,0.02864744316835594,0.0002236534146996031
450.0,0.09683582921814837,0.0718318747489997,0.00017146299785054714,0.0014319046491132828,0.029718362201216698,0.000227622000053763
455.0,0.09665110169435838,0.07259963118321948,0.00018183284631298748,0.001562484959307031,0.030095426196127435,0.00022934601334175268
460.0,0.09648293914506363,0.07308347391668894,0.00018893522948246446,0.001650524447809512,0.030324701281727966,0.00023037254995329342
465.0,0.09636824999980977,0.07305539747081914,0.00019745278508283534,0.0017603497220508634,0.030605180015797637,0.00023130562708833393
470.0,0.09632119980338132,0.07232644525782937,0.00020808499781891748,0.0019039327711210825,0.030953640481547834,0.00023226119002470836
475.0,0.09643746505418455,0.06991790942931982,0.00022295897413641505,0.002121421944350706,0.03155162518721122,0.00023297875045295307
480.0,0.0968678015411533,0.06391863474526349,0.00024427449121106266,0.0024704745269375173,0.03258511466072379,0.00023252971716916765
485.0,0.09734179917041093,0.056779729297335775,0.00025990192688671944,0.0027477857210395722,0.033322771654637366,0.0002311439402637868
490.0,0.09824757532961587,0.043486877807908636,0.00027889343364116947,0.003131863392123702,0.03425997531605582,0.00022735308820683215
495.0,0.09995461840276854,0.017105403571824523,0.00029919221237864575,0.0036570463129897497,0.03529230486102386,0.00021841784281747826
500.0,0.10242080091700996,-0.02597909744370616,0.0003100457003550777,0.004182490792622883,0.035656413901615974,0.00020246868872925887
505.0,0.10580515606078839,-0.09991601626109675,0.0002992359085066297,0.0046544757511576785,0.034624040212690346,0.00017326355198134176
510.0,0.10816348060232897,-0.18077266741017642,0.00025821663352059007,0.004695959879446961,0.03160443398212543,0.00013833062109394902
515.0,0.10830534952693642,-0.22982636874997495,0.00021396187972041927,0.004438428304562219,0.02862920343332578,0.00011221528134018362
520.0,0.10721811695772923,-0.2193085126849956,0.00019464110899273783,0.0041095550491572095,0.027632384477207332,0.0001066972610385104
525.0,0.10601286078129124,-0.20260185089995067,0.00017993130018889174,0.0038282046872516917,0.027166147643751994,0.00010359045238981814
530.0,0.10483442581009414,-0.19036333110778234,0.0001668138166524503,0.0036272207223190306,0.02707441373968149,9.967970999376856e-05
535.0,0.10370245773880939,-0.1783257954254534,0.00015602757897795392,0.003465079391468552,0.02735609632953089,9.626341828811292e-05
540.0,0.10264455176563156,-0.16855988373841616,0.0001467014698389162,0.003341167588691123,0.02792250158285686,9.263822896673806e-05
545.0,0.10159679716671782,-0.16350486396253516,0.00013780524148550316,0.003273006345819727,0.02889802670804401,8.76910320468028e-05
550.0,0.10049119277707756,-0.16043669869498375,0.00012979868360295105,0.003255102998466702,0.030394984035619865,8.213038737562409e-05
