# Gordon coefficients (with bbp slope) fitted from Loisel23
# Source: Loisel23 elastic; 3-parameter fit (G1·u + G2·u² + Gb·bbp)
# Standard G1: 0.0949
# Standard G2: 0.0794
# Rrs<->rrs convention: A=0.52, B=1.7
# weight_mode: relative
#
wavelength,G1,G2,Gb,G1_err,G2_err,Gb_err,rRMS,RMS
695.0,0.11403703474910873,0.3622718829705041,-0.06722647013332105,3.962579280334492e-05,0.005240486308656192,0.00012407025119197873,0.003925371499992386,1.705604381858134e-06
700.0,0.11402923698628262,0.32366049164021143,-0.05993345140779774,3.793044972875768e-05,0.005305511638463121,0.00010434016736089793,0.003727223647673516,1.2089278263410857e-06
705.0,0.1140297360914719,0.3088331484224469,-0.052981683247459874,3.777172264965789e-05,0.005762526950037191,9.078109442302591e-05,0.0036816913363400122,9.662806208433498e-07
710.0,0.11403713508081256,0.3046632146684719,-0.04501637253122686,3.797354481246244e-05,0.006616639448565706,7.67137054376254e-05,0.00367050587411652,7.800990857275519e-07
715.0,0.11404267064006202,0.30437074084206744,-0.03690418791722274,3.831575145990673e-05,0.007918054999819188,6.281042077439909e-05,0.003675439750594705,6.1633672270951e-07
720.0,0.1140528227756395,0.31422132884959036,-0.030160878105024012,3.8820783868044466e-05,0.009605847781648762,5.1511267511174225e-05,0.003691938001874514,4.962791773237107e-07
725.0,0.11406071905534733,0.3287038186467505,-0.024918928825146954,3.936813149186316e-05,0.011576797893503318,4.2764846213585334e-05,0.003712137376487318,4.051115464204667e-07
730.0,0.11407087278231999,0.3557182296708399,-0.01882268943768904,3.994000960672509e-05,0.015232575461495805,3.246928310919945e-05,0.00373300108881537,3.0350891143088017e-07
735.0,0.11408243487387937,0.39271747059847034,-0.014770176460182562,4.0543764641596644e-05,0.019404282041042907,2.563942836855094e-05,0.0037579177776639106,2.3751447329955962e-07
740.0,0.11409059864217622,0.4134819500568379,-0.013336332283725922,4.119171638027751e-05,0.02157506882639635,2.3326385337529842e-05,0.00378183427894132,2.1425728756485201e-07
