# Gordon coefficients (with constant) fitted from Loisel23
# Source: Loisel23 elastic; 3-parameter fit (G0 + G1·u + G2·u²)
# Standard G1: 0.0949
# Standard G2: 0.0794
# Rrs<->rrs convention: A=0.52, B=1.7
# weight_mode: relative
#
wavelength,G0,G1,G2,G0_err,G1_err,G2_err,rRMS,RMS
650.0,4.691119799643978e-05,0.07636079131316821,0.1757287170459024,7.271439564940612e-08,3.1773156678813094e-05,0.0028289777444607724,0.003127738730671463,1.4918889872745166e-06
655.0,4.1590080926046375e-05,0.07644320970140898,0.17619231615843223,6.50898894198657e-08,3.155197626655081e-05,0.003101732797208572,0.003174772548177886,1.3759367130521138e-06
660.0,3.642202403252152e-05,0.07651700184526279,0.17672590758046497,5.802709209230807e-08,3.1794466217974966e-05,0.003530018797943181,0.0032323211914514374,1.2522803061297205e-06
665.0,3.372897750663245e-05,0.0765435395465586,0.17680892505722937,5.5017233827168185e-08,3.250144635377051e-05,0.003906382589557935,0.003293480774359378,1.1890076879965872e-06
670.0,3.195449361531339e-05,0.07655603348559481,0.17685599297403717,5.3390875212414596e-08,3.327198775179389e-05,0.004236956155757429,0.0033579763356057415,1.1511948698305442e-06
675.0,3.0359795426826614e-05,0.07657624749278641,0.1776840768746487,5.128366861308745e-08,3.328348806271424e-05,0.004408167569541584,0.003400244894653433,1.1227268037612313e-06
680.0,2.835529697667097e-05,0.07661677416745316,0.17969380600148444,4.767774110760765e-08,3.2320419664513856e-05,0.004428365087138049,0.003416907898690031,1.087956894314701e-06
685.0,2.629836632142596e-05,0.07666751139777167,0.18178895372924606,4.362845762733503e-08,3.078691044874778e-05,0.004319039932320404,0.0034215137822751246,1.0578224140277669e-06
690.0,2.4012380980933236e-05,0.07672024251997905,0.1835947416446995,3.933042071803128e-08,2.932542625671414e-05,0.004269194483948692,0.0034352805210072987,1.0154168908341637e-06
695.0,2.149271801758023e-05,0.07677001033220213,0.1854060381182138,3.5006145177552915e-08,2.8315124278431465e-05,0.004408127545288817,0.003458986589274204,9.529550794695959e-07
700.0,1.8674809709746648e-05,0.07681758097080545,0.18820852407600022,3.048801771334587e-08,2.774232084128715e-05,0.0048109089369812235,0.0034931125371777776,8.674575568534754e-07
705.0,1.606121634005761e-05,0.07685776335106269,0.19230339420857254,2.6393761340051582e-08,2.7408797605505805e-05,0.005385616067604948,0.0035295828072585333,7.796430884729172e-07
710.0,1.3269129523843495e-05,0.07689861102160382,0.1992726826308291,2.1992806969176076e-08,2.716474695518648e-05,0.00630765553670418,0.0035689600752861874,6.740480333565136e-07
715.0,1.0578939610701549e-05,0.07693630123594242,0.2103252384359753,1.7675019588759e-08,2.692134594467052e-05,0.007658893041057002,0.0036073395399156627,5.621067218632107e-07
720.0,8.404690248302174e-06,0.07696535105920055,0.22527353397565802,1.4168366998064443e-08,2.67379367213759e-05,0.009373401788473438,0.003643608953358668,4.655840591823386e-07
725.0,6.750634033348172e-06,0.07698656496614088,0.24344482237237144,1.1481225049447528e-08,2.6573348643596433e-05,0.01136899675756243,0.003678417190757001,3.8797227905983674e-07
730.0,4.958192613216362e-06,0.0770088484726167,0.2776863977981348,8.505382139932209e-09,2.6389302591339058e-05,0.015052534957781805,0.003711999433374622,2.9592163716749354e-07
735.0,3.783182240803553e-06,0.07702178807417398,0.31851497827628117,6.540959912625613e-09,2.6223205350105504e-05,0.0192358372666316,0.003742733056929418,2.3306681693907218e-07
740.0,3.321552138010553e-06,0.07702757130922773,0.3396993203119521,5.791343515563598e-09,2.608654791672529e-05,0.021416130767396513,0.003769737513967926,2.1044145160707377e-07
745.0,3.1737780189828865e-06,0.07703000684201444,0.3438275148794217,5.57295452996054e-09,2.5915366457742147e-05,0.021874224784123337,0.003793021105305574,2.0597040047377542e-07
750.0,3.066073148988101e-06,0.07703180325373139,0.34609325686460807,5.4269875980317665e-09,2.5779280608281936e-05,0.022142482886186164,0.0038185464636719063,2.0410569555251366e-07
